License,DBAName,Address,City,State,Zip,Latitude,Longitude
407.0,THE MID DAY CLUB,76 W MONROE ST ,CHICAGO,IL,60603.0,41.88080970029171,-87.63058092066868
410.0,CAMBRIDGE HOUSE RESTAURANT,167 E OHIO ST ,CHICAGO,IL,60611.0,41.89244892251652,-87.62276316587196
415.0,VITANGELO'S PIZZA & RESTAURANT,3644 W FULLERTON AVE ,CHICAGO,IL,60647.0,41.92469107502236,-87.7188292868979
429.0,TONY'S ITALIAN DELI,6708 N NORTHWEST HWY ,CHICAGO,IL,60631.0,42.00289469259332,-87.81656422345733
440.0,JERUSALEM LIQUORS,3133-3135 W LAWRENCE AVE ,CHICAGO,IL,60625.0,41.96835470022669,-87.70739432492609
473.0,Kinetic Playground,1113 W LAWRENCE AVE ,CHICAGO,IL,60640.0,41.96893557148954,-87.6582007180482
481.0,PIZZA LOUNGE,2801 W CHICAGO AVE ,CHICAGO,IL,60622.0,41.895543708081156,-87.69676464023073
488.0,THE ANGUS,7555 N WESTERN AVE ,CHICAGO,IL,60645.0,42.01906889946711,-87.69003205693211
491.0,"LA UNICA FOOD MART, INC.",1515 W DEVON AVE ,CHICAGO,IL,60660.0,41.99799345967903,-87.66842788571333
525.0,MARQ LOUNGE,5065-5067 W MADISON ST ,CHICAGO,IL,60644.0,41.880297636028864,-87.75236472341271
526.0,DI'S DEN,5100-5104 W IRVING PARK RD ,CHICAGO,IL,60641.0,41.95343828711805,-87.7547543279566
556.0,RENALDI'S PIZZA,2827 N BROADWAY ,CHICAGO,IL,60657.0,41.93353570530649,-87.64454292702328
574.0,ZAVEN INC,260 E CHESTNUT ST ,CHICAGO,IL,60611.0,41.89856447342598,-87.61947057794758
600.0,GIL-TIKIE LOUNGE,9149 S ASHLAND AVE ,CHICAGO,IL,60620.0,41.727041452634225,-87.66266831572061
606.0,SOUL QUEEN RESTAURANT & LOUNGE,9031 S STONY ISLAND AVE ,CHICAGO,IL,60617.0,41.73051756929612,-87.58491993249247
613.0,CHINESE HOUSE RESTAURANT,5955 W BELMONT AVE ,CHICAGO,IL,60634.0,41.938341303882666,-87.77599556039026
632.0,FRANCES COCKTAIL LOUNGE,307 E 75TH ST ,CHICAGO,IL,60619.0,41.75824795059918,-87.61796718262127
633.0,FRANCES COCKTAIL LOUNGE,307 E 75TH ST ,CHICAGO,IL,60619.0,41.75824795059918,-87.61796718262127
644.0,MAXIM'S RESTAURANT INC,20 N CLARK ST ,CHICAGO,IL,60602.0,41.88243401155929,-87.63103701420854
653.0,ZIEMEK CORP.,5368 N MILWAUKEE AVE ,CHICAGO,IL,60630.0,41.97836392545557,-87.77037720178194
663.0,EL NUEVO GUADALAJARA INC,4350 S ASHLAND AVE ,CHICAGO,IL,60609.0,41.81437321852337,-87.66526254784034
666.0,THE BAKED TOMATO,4358-4360 N ELSTON AVE ,CHICAGO,IL,60641.0,41.959951934694594,-87.72849754956722
687.0,TOWN HALL PUB,3340 N HALSTED ST ,CHICAGO,IL,60657.0,41.943003996643256,-87.64950942825703
691.0,FOUR FARTHINGS TAVERN & GRILL,2058-2060 N CLEVELAND AVE ,CHICAGO,IL,60614.0,41.920015990079655,-87.64144919947897
692.0,DICKENS STREET PUBLIC HOUSE,2058-2060 N CLEVELAND AVE ,CHICAGO,IL,60614.0,41.920015990079655,-87.64144919947897
694.0,END ZONE TAP,10036 S WESTERN AVE ,CHICAGO,IL,60643.0,41.71077678752739,-87.68189948436465
697.0,SIXTY SIX O ONE CLUB,6601 S WESTERN AVE ,CHICAGO,IL,60636.0,41.773695811390624,-87.68334439509034
700.0,ORSO'S RESTAURANT,1401 N WELLS ST ,CHICAGO,IL,60610.0,41.90774284494958,-87.63446079255868
704.0,NEW RIALTO LOUNGE,8038 S ASHLAND AVE ,CHICAGO,IL,60620.0,41.747366001383405,-87.6635068729952
722.0,MARIA AGUIRRE,2857 S KEDVALE AVE ,CHICAGO,IL,60623.0,41.83883416053114,-87.72790458266608
724.0,MR T'S,3528 S INDIANA AVE ,CHICAGO,IL,60653.0,41.83023256481752,-87.62189182326613
732.0,WOODLAWN GARDENS,1200 E 93RD ST ,CHICAGO,IL,60619.0,41.7259581808161,-87.59481759727105
740.0,CHRIS' BAR,1610 W NORTH AVE ,CHICAGO,IL,60622.0,41.910732841658614,-87.66817769111361
747.0,GUIDE'S SPORTS CLUB,5544 S ARCHER AVE ,CHICAGO,IL,60638.0,41.797992787088695,-87.74829736304865
753.0,LINCOLN RESTAURANT,4008-4012 N LINCOLN AVE ,CHICAGO,IL,60618.0,41.954581015413936,-87.67921526521636
760.0,LAS QUINCE LETRAS,2880 W CERMAK RD ,CHICAGO,IL,60623.0,41.851964029125455,-87.69882966389456
766.0,MUGS BUNNY,13401 S BALTIMORE AVE ,CHICAGO,IL,60633.0,41.65176176292082,-87.54701265459964
774.0,ASI ES COLOMBIA INC,3908-3910 N LINCOLN AVE ,CHICAGO,IL,60613.0,41.952554906377074,-87.67780467255146
783.0,PORRETTA'S RESTAURANT INC,3718 N CENTRAL AVE ,CHICAGO,IL,60634.0,41.9482747176331,-87.76698449802174
