License #,DBA Name,Address,City,State,Zip,Latitude,Longitude
1573479,"JIMENEZ  RESTAURANT, INCORPORATED",5716 W DIVERSEY AVE ,CHICAGO,IL,60639,41.93134202,-87.76946868
1573503,TOBACCOSVILLE,3252 W ARMITAGE AVE ,CHICAGO,IL,60647,41.9174864,-87.70899097
1573543,KITE MANDARIN & SUSHI,3341 N LINCOLN AVE ,CHICAGO,IL,60657,41.94257282,-87.67051293
1573596,TASTY HOUSE RESTAURANT,3533 N WESTERN AVE ,CHICAGO,IL,60618,41.94591211,-87.68808803
1573642,THE MARMON GRAND,2230-2238 S MICHIGAN AVE ,CHICAGO,IL,60616,41.85196024,-87.62392716
1573653,DOWNTOWN CHILDRENS LEARNING PLACE,400 N MCCLURG CT ,CHICAGO,IL,60611,41.88911847,-87.61775488
1573654,DOWNTOWN CHILDRENS LEARNING PLACE,400 N MCCLURG CT ,CHICAGO,IL,60611,41.88911847,-87.61775488
1573661,BIG BOWL,6 E CEDAR ST ,CHICAGO,IL,60611,41.90248777,-87.62798727
1573666,BIG BOWL,60 E OHIO ST ,CHICAGO,IL,60611,41.89262531,-87.6257263
1573672,INDIAN GRILL,2258 N CLARK ST ,CHICAGO,IL,60614,41.92347283,-87.63934862
1573680,CITGO,4900 W FULLERTON AVE ,CHICAGO,IL,60639,41.9243148,-87.74888394
1573708,THE 2 COUSINS,939 N ASHLAND AVE ,CHICAGO,IL,60622,41.89907981,-87.66722806
1573735,ELEPHANT & CASTLE PUB RESTAURANT,160 E HURON ST ,CHICAGO,IL,60611,41.89506702,-87.62302721
1573742,NEW DON'S HOT DOG,318 E 47TH ST ,CHICAGO,IL,60653,41.80945903,-87.6187465
1573743,LINCOLN QUALITY MEAT MARKET INC.,4661 N LINCOLN AVE ,CHICAGO,IL,60625,41.96656959,-87.68704002
1573767,THE FAIRMONT CHICAGO,200 N COLUMBUS DR ,CHICAGO,IL,60601,41.88600583,-87.62082896
1573820,SHARKS FISH & CHICKEN,700 E 100TH PL ,CHICAGO,IL,60628,41.7124333,-87.60535894
1573829,GELATINAS CRIS #1,6534 S PULASKI RD ,CHICAGO,IL,60629,41.77394236,-87.72278658
1573833,EASTVIEW INC,1501 W JARVIS AVE ,CHICAGO,IL,60626,42.0159376,-87.6682441
1573847,KUMA'S CORNER,2900 W BELMONT AVE ,CHICAGO,IL,60618,41.93948558,-87.70034094
1573877,DELIGHTFULLY  / DELICIOUS  SAUCE,7100 S SOUTH CHICAGO AVE ,CHICAGO,IL,60619,41.76571673,-87.60558403
